Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
1925,DAIWA HOUSE INDUSTRY LTD,Real Estate,Equity,26626274.52,0.01923,26626274.52,864852,30.79,Japan,Tokyo Stock Exchange,JPY
LUN,LUNDIN MINING CORP,Materials,Equity,26600823.51,0.01922,26600823.51,972123,27.36,Canada,Toronto Stock Exchange,CAD
LII,LENNOX INTERNATIONAL INC,Industrials,Equity,26532834.57,0.01917,26532834.57,53853,492.69,United States,New York Stock Exchange Inc.,USD
BBD.B,BOMBARDIER INC CLASS B,Industrials,Equity,26353447.38,0.01904,26353447.38,140020,188.21,Canada,Toronto Stock Exchange,CAD
MRU,METRO INC,Consumer Staples,Equity,26356567.02,0.01904,26356567.02,387332,68.05,Canada,Toronto Stock Exchange,CAD
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,Equity,26363322.36,0.01904,26363322.36,347526,75.86,United States,New York Stock Exchange Inc.,USD
STO,SANTOS LTD,Energy,Equity,26364036.42,0.01904,26364036.42,4945298,5.33,Australia,Asx - All Markets,AUD
S63,SINGAPORE TECHNOLOGIES ENGINEERING,Industrials,Equity,26364419.22,0.01904,26364419.22,2941100,8.96,Singapore,Singapore Exchange,SGD
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Equity,26285570.47,0.01899,26285570.47,238591,110.17,United States,New York Stock Exchange Inc.,USD
TRI,THOMSON REUTERS CORP,Industrials,Equity,26268519.96,0.01898,26268519.96,270728,97.03,Canada,Toronto Stock Exchange,CAD
J,JACOBS SOLUTIONS INC,Industrials,Equity,26224220.88,0.01894,26224220.88,202488,129.51,United States,New York Stock Exchange Inc.,USD
9503,KANSAI ELECTRIC POWER INC,Utilities,Equity,26208448.72,0.01893,26208448.72,1708480,15.34,Japan,Tokyo Stock Exchange,JPY
RDDT,REDDIT INC CLASS A,Communication,Equity,26003108.3,0.01878,26003108.3,165815,156.82,United States,New York Stock Exchange Inc.,USD
KOG,KONGSBERG GRUPPEN,Industrials,Equity,25934751.36,0.01873,25934751.36,655484,39.57,Norway,Oslo Bors Asa,NOK
MAA,MID AMERICA APARTMENT COMMUNITIES,Real Estate,Equity,25893135.24,0.0187,25893135.24,205926,125.74,United States,New York Stock Exchange Inc.,USD
SHL,SIEMENS HEALTHINEERS AG,Health Care,Equity,25843142.74,0.01867,25843142.74,577783,44.73,Germany,Xetra,EUR
URW,UNIBAIL RODAMCO WE STAPLED UNITS,Real Estate,Equity,25804806.27,0.01864,25804806.27,209621,123.1,France,Nyse Euronext - Euronext Paris,EUR
PNR,PENTAIR,Industrials,Equity,25751718.38,0.0186,25751718.38,286162,89.99,United States,New York Stock Exchange Inc.,USD
5713,SUMITOMO METAL MINING LTD,Materials,Equity,25706890.74,0.01857,25706890.74,398182,64.56,Japan,Tokyo Stock Exchange,JPY
MG,MAGNA INTERNATIONAL INC,Consumer Discretionary,Equity,25643299.93,0.01852,25643299.93,415107,61.78,Canada,Toronto Stock Exchange,CAD
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,Equity,25616909.34,0.0185,25616909.34,358479,71.46,United States,NASDAQ,USD
ESSITY B,ESSITY CLASS B,Consumer Staples,Equity,25595361.93,0.01849,25595361.93,954707,26.81,Sweden,Nasdaq Omx Nordic,SEK
INCY,INCYTE CORP,Health Care,Equity,25598176.36,0.01849,25598176.36,266038,96.22,United States,NASDAQ,USD
4062,IBIDEN LTD,Information Technology,Equity,25567675.75,0.01847,25567675.75,385900,66.25,Japan,Tokyo Stock Exchange,JPY
DSY,DASSAULT SYSTEMES,Information Technology,Equity,25539196.25,0.01845,25539196.25,1142876,22.35,France,Nyse Euronext - Euronext Paris,EUR
REG,REGENCY CENTERS REIT CORP,Real Estate,Equity,25512468.66,0.01843,25512468.66,318866,80.01,United States,NASDAQ,USD
9101,NIPPON YUSEN,Industrials,Equity,25295449.38,0.01827,25295449.38,686600,36.84,Japan,Tokyo Stock Exchange,JPY
GPC,GENUINE PARTS,Consumer Discretionary,Equity,25297470,0.01827,25297470,219978,115,United States,New York Stock Exchange Inc.,USD
1801,TAISEI CORP,Industrials,Equity,25276683.75,0.01826,25276683.75,253698,99.63,Japan,Tokyo Stock Exchange,JPY
4507,SHIONOGI LTD,Health Care,Equity,25012224.74,0.01807,25012224.74,1274480,19.63,Japan,Tokyo Stock Exchange,JPY
INVH,INVITATION HOMES INC,Real Estate,Equity,24981273.42,0.01805,24981273.42,927293,26.94,United States,New York Stock Exchange Inc.,USD
1812,KAJIMA CORP,Industrials,Equity,24969906.3,0.01804,24969906.3,658367,37.93,Japan,Tokyo Stock Exchange,JPY
NHY,NORSK HYDRO,Materials,Equity,24970949.45,0.01804,24970949.45,2196456,11.37,Norway,Oslo Bors Asa,NOK
RI,PERNOD RICARD SA,Consumer Staples,Equity,24955985.31,0.01803,24955985.31,316193,78.93,France,Nyse Euronext - Euronext Paris,EUR
SPSN,SWISS PRIME SITE AG,Real Estate,Equity,24873054.76,0.01797,24873054.76,142933,174.02,Switzerland,SIX Swiss Exchange,CHF
SUI,SUN COMMUNITIES REIT INC,Real Estate,Equity,24868389,0.01796,24868389,192450,129.22,United States,New York Stock Exchange Inc.,USD
RTO,RENTOKIL INITIAL PLC,Industrials,Equity,24746098.29,0.01788,24746098.29,3709032,6.67,United Kingdom,London Stock Exchange,GBP
9735,SECOM LTD,Industrials,Equity,24731858.46,0.01787,24731858.46,666986,37.08,Japan,Tokyo Stock Exchange,JPY
CSGP,COSTAR GROUP INC,Real Estate,Equity,24717071.67,0.01785,24717071.67,635237,38.91,United States,NASDAQ,USD
DSFIR,DSM FIRMENICH AG,Materials,Equity,24691506.84,0.01784,24691506.84,320477,77.05,Netherlands,Euronext Amsterdam,EUR
9532,OSAKA GAS LTD,Utilities,Equity,24632870.08,0.01779,24632870.08,662411,37.19,Japan,Tokyo Stock Exchange,JPY
WPC,W. P. CAREY REIT INC,Real Estate,Equity,24634587.6,0.01779,24634587.6,333802,73.8,United States,New York Stock Exchange Inc.,USD
NVMI,NOVA LTD,Information Technology,Equity,24617184.51,0.01778,24617184.51,46575,528.55,Israel,Tel Aviv Stock Exchange,ILS
HEIA,HEICO CORP CLASS A,Industrials,Equity,24598401.9,0.01777,24598401.9,116310,211.49,United States,New York Stock Exchange Inc.,USD
9104,MITSUI OSK LINES LTD,Industrials,Equity,24583472.72,0.01776,24583472.72,643600,38.2,Japan,Tokyo Stock Exchange,JPY
TRU,TRANSUNION,Industrials,Equity,24572254.08,0.01775,24572254.08,317307,77.44,United States,New York Stock Exchange Inc.,USD
WN,GEORGE WESTON LTD,Consumer Staples,Equity,24402767.54,0.01763,24402767.54,342857,71.17,Canada,Toronto Stock Exchange,CAD
6326,KUBOTA CORP,Industrials,Equity,24410356.13,0.01763,24410356.13,1473171,16.57,Japan,Tokyo Stock Exchange,JPY
TRN,TERNA RETE ELETTRICA NAZIONALE,Utilities,Equity,24223619.32,0.0175,24223619.32,2049959,11.82,Italy,Borsa Italiana,EUR
EDP,EDP ENERGIAS DE PORTUGAL SA,Utilities,Equity,24165312.18,0.01746,24165312.18,4662749,5.18,Portugal,Nyse Euronext - Euronext Lisbon,EUR
CNA,CENTRICA PLC,Utilities,Equity,24095530.29,0.01741,24095530.29,8617058,2.8,United Kingdom,London Stock Exchange,GBP
FPH,FISHER AND PAYKEL HEALTHCARE CORPO,Health Care,Equity,23982204.71,0.01732,23982204.71,1071391,22.38,New Zealand,New Zealand Exchange Ltd,NZD
NDSN,NORDSON CORP,Industrials,Equity,23933378.88,0.01729,23933378.88,84654,282.72,United States,NASDAQ,USD
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity,23933966.08,0.01729,23933966.08,841856,28.43,United States,NASDAQ,USD
LOGN,LOGITECH INTERNATIONAL SA,Information Technology,Equity,23935790.31,0.01729,23935790.31,241526,99.1,Switzerland,SIX Swiss Exchange,CHF
7832,BANDAI NAMCO HOLDINGS INC,Consumer Discretionary,Equity,23869297.61,0.01724,23869297.61,972000,24.56,Japan,Tokyo Stock Exchange,JPY
EMA,EMERA INC,Utilities,Equity,23855807.98,0.01723,23855807.98,460045,51.86,Canada,Toronto Stock Exchange,CAD
ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate,Equity,23834760.84,0.01722,23834760.84,94149,253.16,United States,New York Stock Exchange Inc.,USD
6361,EBARA CORP,Industrials,Equity,23766501.24,0.01717,23766501.24,737400,32.23,Japan,Tokyo Stock Exchange,JPY
IREN,IREN LTD,Information Technology,Equity,23760684.76,0.01716,23760684.76,526028,45.17,United States,NASDAQ,USD
6383,DAIFUKU LTD,Industrials,Equity,23692855.66,0.01711,23692855.66,589400,40.2,Japan,Tokyo Stock Exchange,JPY
SCG,SCENTRE GROUP,Real Estate,Equity,23693216.95,0.01711,23693216.95,9236225,2.57,Australia,Asx - All Markets,AUD
PNFP,PINNACLE FINANCIAL PARTNERS INC,Financials,Equity,23609152.48,0.01705,23609152.48,242344,97.42,United States,New York Stock Exchange Inc.,USD
6,POWER ASSETS HOLDINGS LTD,Utilities,Equity,23610176.53,0.01705,23610176.53,2872865,8.22,Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
EG,EVEREST GROUP LTD,Financials,Equity,23540087.44,0.017,23540087.44,67292,349.82,United States,New York Stock Exchange Inc.,USD
KIM,KIMCO REALTY REIT CORP,Real Estate,Equity,23448622.59,0.01694,23448622.59,989811,23.69,United States,New York Stock Exchange Inc.,USD
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,Financials,Equity,23457398.8,0.01694,23457398.8,1037938,22.6,United States,New York Stock Exchange Inc.,USD
CCH,COCA COLA HBC AG,Consumer Staples,Equity,23409865.91,0.01691,23409865.91,412122,56.8,United Kingdom,London Stock Exchange,GBP
MAS,MASCO CORP,Industrials,Equity,23366000,0.01688,23366000,350000,66.76,United States,New York Stock Exchange Inc.,USD
TLS,TELSTRA GROUP LTD,Communication,Equity,23340110.45,0.01686,23340110.45,6111238,3.82,Australia,Asx - All Markets,AUD
ZS,ZSCALER INC,Information Technology,Equity,23259305.22,0.0168,23259305.22,166602,139.61,United States,NASDAQ,USD
NBIX,NEUROCRINE BIOSCIENCES INC,Health Care,Equity,23202729.82,0.01676,23202729.82,178181,130.22,United States,NASDAQ,USD
MONC,MONCLER,Consumer Discretionary,Equity,23147807.25,0.01672,23147807.25,342079,67.67,Italy,Borsa Italiana,EUR
SRG,SNAM,Utilities,Equity,23148183.62,0.01672,23148183.62,2982621,7.76,Italy,Borsa Italiana,EUR
RKT,ROCKET COMPANIES INC CLASS A,Financials,Equity,23127762.42,0.01671,23127762.42,1453662,15.91,United States,New York Stock Exchange Inc.,USD
TYL,TYLER TECHNOLOGIES INC,Information Technology,Equity,23033525.76,0.01664,23033525.76,67456,341.46,United States,New York Stock Exchange Inc.,USD
IEX,IDEX CORP,Industrials,Equity,23023515.75,0.01663,23023515.75,112425,204.79,United States,New York Stock Exchange Inc.,USD
GGG,GRACO INC,Industrials,Equity,22882808.56,0.01653,22882808.56,262177,87.28,United States,New York Stock Exchange Inc.,USD
S32,SOUTH32 LTD,Materials,Equity,22797690.11,0.01647,22797690.11,7214492,3.16,Australia,Asx - All Markets,AUD
7012,KAWASAKI HEAVY INDUSTRIES LTD,Industrials,Equity,22806783.57,0.01647,22806783.57,1158400,19.69,Japan,Tokyo Stock Exchange,JPY
WSO,WATSCO INC,Industrials,Equity,22463042.4,0.01623,22463042.4,51006,440.4,United States,New York Stock Exchange Inc.,USD
1802,OBAYASHI CORP,Industrials,Equity,22456431.11,0.01622,22456431.11,973672,23.06,Japan,Tokyo Stock Exchange,JPY
BG,BAWAG GROUP AG,Financials,Equity,22421818.26,0.0162,22421818.26,123330,181.8,Austria,Wiener Boerse Ag,EUR
1113,CK ASSET HOLDINGS LTD,Real Estate,Equity,22380233.13,0.01617,22380233.13,3586540,6.24,Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
2503,KIRIN HOLDINGS LTD,Consumer Staples,Equity,22384072.78,0.01617,22384072.78,1383360,16.18,Japan,Tokyo Stock Exchange,JPY
PST,POSTE ITALIANE,Financials,Equity,22344781.22,0.01614,22344781.22,854928,26.14,Italy,Borsa Italiana,EUR
AVY,AVERY DENNISON CORP,Materials,Equity,22221120.34,0.01605,22221120.34,131129,169.46,United States,New York Stock Exchange Inc.,USD
2502,ASAHI GROUP HOLDINGS LTD,Consumer Staples,Equity,22204503.25,0.01604,22204503.25,2177886,10.2,Japan,Tokyo Stock Exchange,JPY
COO,COOPER INC,Health Care,Equity,22180061,0.01602,22180061,329570,67.3,United States,NASDAQ,USD
KNIN,KUEHNE UND NAGEL INTERNATIONAL AG,Industrials,Equity,22170369.84,0.01601,22170369.84,90944,243.78,Switzerland,SIX Swiss Exchange,CHF
823,LINK REAL ESTATE INVESTMENT TRUST,Real Estate,Equity,22153650.99,0.016,22153650.99,4489239,4.93,Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
RPM,RPM INTERNATIONAL INC,Materials,Equity,21885657.94,0.01581,21885657.94,203986,107.29,United States,New York Stock Exchange Inc.,USD
DKS,DICKS SPORTING INC,Consumer Discretionary,Equity,21889566.27,0.01581,21889566.27,95667,228.81,United States,New York Stock Exchange Inc.,USD
IONQ,IONQ INC,Information Technology,Equity,21851796.2,0.01578,21851796.2,472165,46.28,United States,New York Stock Exchange Inc.,USD
HEN3,HENKEL & KGAA PREF AG,Consumer Staples,Equity,21828554.97,0.01577,21828554.97,285320,76.51,Germany,Xetra,EUR
SUN,SUNCORP GROUP LTD,Financials,Equity,21664198.67,0.01565,21664198.67,1824625,11.87,Australia,Asx - All Markets,AUD
UU.,UNITED UTILITIES GROUP PLC,Utilities,Equity,21638692.67,0.01563,21638692.67,1212151,17.85,United Kingdom,London Stock Exchange,GBP
ORSTED,ORSTED A/S,Utilities,Equity,21409808.4,0.01547,21409808.4,841213,25.45,Denmark,Omx Nordic Exchange Copenhagen A/S,DKK
AGS,AGEAS SA,Financials,Equity,21419265.24,0.01547,21419265.24,265686,80.62,Belgium,Nyse Euronext - Euronext Brussels,EUR
6594,NIDEC CORP,Industrials,Equity,21320445.46,0.0154,21320445.46,1429600,14.91,Japan,Tokyo Stock Exchange,JPY
9531,TOKYO GAS LTD,Utilities,Equity,21252623.62,0.01535,21252623.62,513546,41.38,Japan,Tokyo Stock Exchange,JPY
METSO,METSO CORPORATION,Industrials,Equity,21231661.59,0.01534,21231661.59,1148533,18.49,Finland,Nasdaq Omx Helsinki Ltd.,EUR
APTV,APTIV PLC,Consumer Discretionary,Equity,21159859.2,0.01528,21159859.2,348024,60.8,United States,New York Stock Exchange Inc.,USD
TEL2 B,TELE2 B,Communication,Equity,21134832.34,0.01527,21134832.34,1046700,20.19,Sweden,Nasdaq Omx Nordic,SEK
DSCT,ISRAEL DISCOUNT BANK LTD,Financials,Equity,21064103.63,0.01522,21064103.63,1839176,11.45,Israel,Tel Aviv Stock Exchange,ILS
RCI.B,ROGERS COMMUNICATIONS NON-VOTING I,Communication,Equity,21050576.58,0.01521,21050576.58,637095,33.04,Canada,Toronto Stock Exchange,CAD
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES,Information Technology,Equity,21048000.56,0.0152,21048000.56,150257,140.08,Israel,NASDAQ,USD
LISN,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Consumer Staples,Equity,20960759.17,0.01514,20960759.17,159,131828.67,Switzerland,SIX Swiss Exchange,CHF
BBY,BEST BUY INC,Consumer Discretionary,Equity,20843335.9,0.01506,20843335.9,313010,66.59,United States,New York Stock Exchange Inc.,USD
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials,Equity,20833433.04,0.01505,20833433.04,411078,50.68,United States,New York Stock Exchange Inc.,USD
WCP,WHITECAP RESOURCES INC,Energy,Equity,20786628.35,0.01502,20786628.35,1964869,10.58,Canada,Toronto Stock Exchange,CAD
3407,ASAHI KASEI CORP,Materials,Equity,20732308.41,0.01498,20732308.41,2120256,9.78,Japan,Tokyo Stock Exchange,JPY
LYC,LYNAS RARE EARTHS LTD,Materials,Equity,20683414.26,0.01494,20683414.26,1445432,14.31,Australia,Asx - All Markets,AUD
PHOE,PHOENIX FINANCIAL LTD,Financials,Equity,20539842.73,0.01484,20539842.73,349637,58.75,Israel,Tel Aviv Stock Exchange,ILS
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,Equity,20511775.82,0.01482,20511775.82,394609,51.98,United States,New York Stock Exchange Inc.,USD
KRX,KINGSPAN GROUP PLC,Industrials,Equity,20464947.37,0.01478,20464947.37,218769,93.55,Ireland,Irish Stock Exchange - All Market,EUR
8473,SBI HOLDINGS INC,Financials,Equity,20426828.12,0.01476,20426828.12,1055000,19.36,Japan,Tokyo Stock Exchange,JPY
SCHP,SCHINDLER HOLDING PAR AG,Industrials,Equity,20424333.93,0.01475,20424333.93,58641,348.29,Switzerland,SIX Swiss Exchange,CHF
EN,BOUYGUES SA,Industrials,Equity,20424841.56,0.01475,20424841.56,332948,61.35,France,Nyse Euronext - Euronext Paris,EUR
AGN,AEGON LTD,Financials,Equity,20376871.48,0.01472,20376871.48,2504198,8.14,Netherlands,Euronext Amsterdam,EUR
TOST,TOAST INC CLASS A,Financials,Equity,20360086.51,0.01471,20360086.51,710153,28.67,United States,New York Stock Exchange Inc.,USD
GDDY,GODADDY INC CLASS A,Information Technology,Equity,20363469.6,0.01471,20363469.6,229836,88.6,United States,New York Stock Exchange Inc.,USD
OKTA,OKTA INC CLASS A,Information Technology,Equity,20340903.6,0.01469,20340903.6,261990,77.64,United States,NASDAQ,USD
6988,NITTO DENKO CORP,Materials,Equity,20310636.26,0.01467,20310636.26,965755,21.03,Japan,Tokyo Stock Exchange,JPY
TEN,TENARIS SA,Energy,Equity,20251270.32,0.01463,20251270.32,667397,30.34,Italy,Borsa Italiana,EUR
IAG,INSURANCE AUSTRALIA GROUP LTD,Financials,Equity,20234878.73,0.01462,20234878.73,3780363,5.35,Australia,Asx - All Markets,AUD
H,HYDRO ONE LTD,Utilities,Equity,20245380.61,0.01462,20245380.61,480841,42.1,Canada,Toronto Stock Exchange,CAD
8601,DAIWA SECURITIES GROUP INC,Financials,Equity,20206732.28,0.0146,20206732.28,2114675,9.56,Japan,Tokyo Stock Exchange,JPY
SN.,SMITH AND NEPHEW PLC,Health Care,Equity,20200349.89,0.01459,20200349.89,1224718,16.49,United Kingdom,London Stock Exchange,GBP
BN4,KEPPEL LTD,Industrials,Equity,20175905.57,0.01457,20175905.57,2141860,9.42,Singapore,Singapore Exchange,SGD
ARX,ARC RESOURCES LTD,Energy,Equity,20156884.17,0.01456,20156884.17,1072637,18.79,Canada,Toronto Stock Exchange,CAD
GWO,GREAT WEST LIFECO INC,Financials,Equity,20129767.35,0.01454,20129767.35,387807,51.91,Canada,Toronto Stock Exchange,CAD
KRZ,KERRY GROUP PLC,Consumer Staples,Equity,20079040.31,0.0145,20079040.31,250339,80.21,Ireland,Irish Stock Exchange - All Market,EUR
APA,APA GROUP UNITS,Utilities,Equity,20041075.42,0.01448,20041075.42,2822285,7.1,Australia,Asx - All Markets,AUD
PODD,INSULET CORP,Health Care,Equity,20014436.79,0.01446,20014436.79,104063,192.33,United States,NASDAQ,USD
STMN,STRAUMANN HOLDING AG,Health Care,Equity,19993812.98,0.01444,19993812.98,174476,114.59,Switzerland,SIX Swiss Exchange,CHF
ELE,ENDESA SA,Utilities,Equity,19928978.77,0.0144,19928978.77,446027,44.68,Spain,Bolsa De Madrid,EUR
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,Equity,19906525.6,0.01438,19906525.6,53918,369.2,United States,NASDAQ,USD
NESTE,NESTE,Energy,Equity,19789432.66,0.0143,19789432.66,674918,29.32,Finland,Nasdaq Omx Helsinki Ltd.,EUR
EDV,ENDEAVOUR MINING,Materials,Equity,19717806.03,0.01424,19717806.03,308140,63.99,United Kingdom,London Stock Exchange,GBP
SMIN,SMITHS GROUP PLC,Industrials,Equity,19705309.32,0.01423,19705309.32,569818,34.58,United Kingdom,London Stock Exchange,GBP
4307,NOMURA RESEARCH INSTITUTE LTD,Information Technology,Equity,19541092.83,0.01412,19541092.83,624410,31.3,Japan,Tokyo Stock Exchange,JPY
1928,SEKISUI HOUSE LTD,Consumer Discretionary,Equity,19550992.2,0.01412,19550992.2,894413,21.86,Japan,Tokyo Stock Exchange,JPY
TW,TRADEWEB MARKETS INC CLASS A,Financials,Equity,19529845.12,0.01411,19529845.12,170477,114.56,United States,NASDAQ,USD
CLX,CLOROX,Consumer Staples,Equity,19458315.45,0.01406,19458315.45,195345,99.61,United States,New York Stock Exchange Inc.,USD
CG,CARLYLE GROUP INC,Financials,Equity,19444363.56,0.01405,19444363.56,373284,52.09,United States,NASDAQ,USD
PINS,PINTEREST INC CLASS A,Communication,Equity,19390573.74,0.01401,19390573.74,940377,20.62,United States,New York Stock Exchange Inc.,USD
HEI,HEICO CORP,Industrials,Equity,19379640.22,0.014,19379640.22,70211,276.02,United States,New York Stock Exchange Inc.,USD
RO,ROCHE HOLDING AG,Health Care,Equity,19359452.68,0.01398,19359452.68,46054,420.36,Switzerland,SIX Swiss Exchange,CHF
G1A,GEA GROUP AG,Industrials,Equity,19329006.28,0.01396,19329006.28,266787,72.45,Germany,Xetra,EUR
HM B,HENNES & MAURITZ,Consumer Discretionary,Equity,19313929.03,0.01395,19313929.03,995276,19.41,Sweden,Nasdaq Omx Nordic,SEK
ALLE,ALLEGION PLC,Industrials,Equity,19282511.47,0.01393,19282511.47,134401,143.47,United States,New York Stock Exchange Inc.,USD
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,Equity,19172873.37,0.01385,19172873.37,81011,236.67,United States,NASDAQ,USD
7532,PAN PACIFIC INTERNATIONAL HOLDINGS,Consumer Discretionary,Equity,19130782.7,0.01382,19130782.7,3236900,5.91,Japan,Tokyo Stock Exchange,JPY
7453,RYOHIN KEIKAKU LTD,Consumer Discretionary,Equity,19047893.47,0.01376,19047893.47,802100,23.75,Japan,Tokyo Stock Exchange,JPY
8795,T&D HOLDINGS INC,Financials,Equity,18970098.19,0.0137,18970098.19,791505,23.97,Japan,Tokyo Stock Exchange,JPY
8697,JAPAN EXCHANGE GROUP INC,Financials,Equity,18924420.74,0.01367,18924420.74,1597600,11.85,Japan,Tokyo Stock Exchange,JPY
TELIA,TELIA COMPANY,Communication,Equity,18828242.79,0.0136,18828242.79,3732692,5.04,Sweden,Nasdaq Omx Nordic,SEK
GEN,GEN DIGITAL INC,Information Technology,Equity,18711836.11,0.01352,18711836.11,939821,19.91,United States,NASDAQ,USD
GLPI,GAMING AND LEISURE PROPERTIES REIT,Real Estate,Equity,18669960,0.01349,18669960,398250,46.88,United States,NASDAQ,USD
SVT,SEVERN TRENT PLC,Utilities,Equity,18676746.87,0.01349,18676746.87,446718,41.81,United Kingdom,London Stock Exchange,GBP
AKRBP,AKER BP,Energy,Equity,18557590.9,0.01341,18557590.9,512578,36.2,Norway,Oslo Bors Asa,NOK
6504,FUJI ELECTRIC LTD,Industrials,Equity,18538130.94,0.01339,18538130.94,245000,75.67,Japan,Tokyo Stock Exchange,JPY
ADM,ADMIRAL GROUP PLC,Financials,Equity,18541631.47,0.01339,18541631.47,400172,46.33,United Kingdom,London Stock Exchange,GBP
IOT,SAMSARA INC CLASS A,Information Technology,Equity,18519027.45,0.01338,18519027.45,589215,31.43,United States,New York Stock Exchange Inc.,USD
YAR,YARA INTERNATIONAL,Materials,Equity,18523326.95,0.01338,18523326.95,327964,56.48,Norway,Oslo Bors Asa,NOK
IT,GARTNER INC,Information Technology,Equity,18527635.56,0.01338,18527635.56,116548,158.97,United States,New York Stock Exchange Inc.,USD
BVI,BUREAU VERITAS SA,Industrials,Equity,18506751.79,0.01337,18506751.79,553913,33.41,France,Nyse Euronext - Euronext Paris,EUR
FGR,EIFFAGE SA,Industrials,Equity,18496632.04,0.01336,18496632.04,112222,164.82,France,Nyse Euronext - Euronext Paris,EUR
J36,JARDINE MATHESON HOLDINGS LTD,Industrials,Equity,18472428.81,0.01334,18472428.81,255603,72.27,Hong Kong,Singapore Exchange,USD
BKT,BANKINTER SA,Financials,Equity,18459064.1,0.01333,18459064.1,1071065,17.23,Spain,Bolsa De Madrid,EUR
GFL,GFL ENVIRONMENTAL SUBORDINATE VOTI,Industrials,Equity,18402980.96,0.01329,18402980.96,465946,39.5,Canada,Toronto Stock Exchange,CAD
GIL,GILDAN ACTIVEWEAR INC,Consumer Discretionary,Equity,18366929.19,0.01327,18366929.19,302960,60.62,Canada,Toronto Stock Exchange,CAD
ASRNL,ASR NEDERLAND NV,Financials,Equity,18372329.26,0.01327,18372329.26,244195,75.24,Netherlands,Euronext Amsterdam,EUR
GALP,GALP ENERGIA SGPS SA CLASS B,Energy,Equity,18373202.88,0.01327,18373202.88,817256,22.48,Portugal,Nyse Euronext - Euronext Lisbon,EUR
FORTUM,FORTUM,Utilities,Equity,18374084.53,0.01327,18374084.53,735758,24.97,Finland,Nasdaq Omx Helsinki Ltd.,EUR
9766,KONAMI GROUP CORP,Communication,Equity,18354838,0.01326,18354838,141773,129.47,Japan,Tokyo Stock Exchange,JPY
EQH,EQUITABLE HOLDINGS INC,Financials,Equity,18304081,0.01322,18304081,446441,41,United States,New York Stock Exchange Inc.,USD
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,Equity,18290544.39,0.01321,18290544.39,1110537,16.47,United States,New York Stock Exchange Inc.,USD
SGRO,SEGRO REIT PLC,Real Estate,Equity,18184541.91,0.01314,18184541.91,1882735,9.66,United Kingdom,London Stock Exchange,GBP
SY1,SYMRISE AG,Materials,Equity,18146568.63,0.01311,18146568.63,203335,89.24,Germany,Xetra,EUR
TIH,TOROMONT INDUSTRIES LTD,Industrials,Equity,18150859.24,0.01311,18150859.24,120636,150.46,Canada,Toronto Stock Exchange,CAD
ENX,EURONEXT NV,Financials,Equity,18132063.26,0.0131,18132063.26,105245,172.28,France,Nyse Euronext - Euronext Paris,EUR
TEAM,ATLASSIAN CORP CLASS A,Information Technology,Equity,18091660.5,0.01307,18091660.5,254025,71.22,United States,NASDAQ,USD
TEL,TELENOR,Communication,Equity,18099055.66,0.01307,18099055.66,1039155,17.42,Norway,Oslo Bors Asa,NOK
JKHY,JACK HENRY AND ASSOCIATES INC,Financials,Equity,18038155.5,0.01303,18038155.5,116001,155.5,United States,NASDAQ,USD
HUBS,HUBSPOT INC,Information Technology,Equity,18018054.18,0.01302,18018054.18,78183,230.46,United States,New York Stock Exchange Inc.,USD
CPU,COMPUTERSHARE LTD,Industrials,Equity,17945958.92,0.01296,17945958.92,815000,22.02,Australia,Asx - All Markets,AUD
SGE,THE SAGE GROUP PLC,Information Technology,Equity,17866833.6,0.01291,17866833.6,1442981,12.38,United Kingdom,London Stock Exchange,GBP
SOON,SONOVA HOLDING AG,Health Care,Equity,17830782,0.01288,17830782,74997,237.75,Switzerland,SIX Swiss Exchange,CHF
LISP,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Consumer Staples,Equity,17822967.43,0.01287,17822967.43,1411,12631.44,Switzerland,SIX Swiss Exchange,CHF
DKK,DKK CASH,Cash and/or Derivatives,Cash,17801588.77,0.01286,17801588.77,113204753,15.73,Denmark,--,DKK
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,Equity,17739478.15,0.01281,17739478.15,99353,178.55,United States,New York Stock Exchange Inc.,USD
BNZL,BUNZL,Industrials,Equity,17614555.01,0.01272,17614555.01,552760,31.87,United Kingdom,London Stock Exchange,GBP
